FID,CSI_EDU,Lat,Lon,Country,ZoneID,Pct_In_NWI,Ha,Ha_In_NWI,Pct_In_USA,Ha_In_USA
20,Great Miami-Little Miami,39.643575930200001,-84.450014958400004,US,EDU_21,95.453922791300002,2210627.613520000100000,2110130.775409999800000,100.000000000000000,2210627.613520000100000
21,Illinois River,40.125375463600001,-89.822823831500003,US,EDU_22,100.000000000000000,3782498.051469999800000,3782498.051469999800000,100.000000000000000,3782498.051469999800000
22,Iowa-Cedar Rivers,42.444703232899997,-92.548450878899999,US,EDU_23,100.000000000000000,3270902.474890000200000,3270902.474890000200000,100.000000000000000,3270902.474890000200000
23,Kaskaskia-Big Muddy River,38.684020854800004,-89.208498695700001,US,EDU_24,100.000000000000000,2122551.375159999800000,2122551.375159999800000,100.000000000000000,2122551.375159999800000
24,Lake Champlain,44.325522789099999,-73.130935704300001,US_CA,EDU_25,99.989108293000001,2143138.020229999900000,2142904.577730000000000,100.000000000000000,2143138.020229999900000
25,Long Island,40.853164156600002,-72.981038085500003,US,EDU_26,99.999999998299998,653708.941787000050000,653708.941774999960000,100.000000000000000,653708.941786000040000
26,Lower Connecticut,41.820085055299998,-72.432108072299997,US,EDU_27,100.000000000000000,2512482.781169999900000,2512482.551659999900000,99.897292197799999,2509902.265329999800000
27,Lower Delaware,40.385696694300002,-75.393950144800002,US,EDU_28,94.828931729600001,1834733.995850000100000,1739858.648340000100000,100.000000000000000,1834733.995850000100000
28,Lower Hudson,41.106046222400003,-74.230321979300001,US,EDU_29,100.000000000000000,1470544.553390000000000,1470544.553390000000000,100.000000000000000,1470544.553390000000000
29,Lower Neosho - Ozarks,36.952012321300003,-94.404363331400006,US,EDU_30,64.314211757600006,1171928.449250000100000,753716.544499999960000,100.000000000000000,1171928.449250000100000
30,Lower Ohio,37.925165210899998,-87.244260721700002,US,EDU_31,66.973026436599994,2263328.487530000000000,1515819.586300000100000,100.000000000000000,2263328.487530000000000
31,Lower St. Croix - Downeast Maine Coastal,44.669611585200002,-68.075941939200007,US_CA,EDU_32,99.986796684599994,1638017.951829999900000,1637801.576700000100000,100.000000000000000,1638017.951840000000000
32,Lower St. Francis River,36.101715655400000,-90.087343855499995,US,EDU_33,48.923101918299999,1780040.847270000000000,870851.197861999970000,100.000000000000000,1780040.847270000000000
33,Lower Susquehanna,39.938382130599997,-76.492365915799994,US,EDU_34,88.678335139500007,1010947.290720000000000,570924.872968000010000,100.000000000000000,1010947.290720000000000
34,Lower White,38.797029406999997,-86.565035517100000,US,EDU_35,100.000000000000000,1477348.925950000100000,1477348.925950000100000,100.000000000000000,1477348.925950000100000
35,Meramec River,38.039862141199997,-91.104161063299998,US,EDU_36,100.000000000000000,1026630.375190000000000,1026630.375190000000000,100.000000000000000,1026630.375190000000000
36,Middle Connecticut,42.988326795799999,-72.471446813900002,US,EDU_37,100.000000000000000,878595.874639000050000,878595.874639000050000,100.000000000000000,878595.874639000050000
37,Middle Potomac,39.585919364399999,-77.271280329199996,US,EDU_38,23.499787414699998,251100.129579000000000,59007.996649100001000,100.000000000000000,251100.129579000000000
38,Middle Susquehanna - Juniata,40.588133891100000,-77.196502502000001,US,EDU_39,100.000000000000000,2199907.530309999800000,2199907.530309999800000,100.000000000000000,2199907.530309999800000
39,Middle Wabash River,40.161326868700002,-87.337432254299998,US,EDU_40,99.999999999899998,1170117.464859999900000,1170117.464859999900000,100.000000000000000,1170117.464859999900000
40,Minnesota River,44.176506389700002,-94.464428450699998,US,EDU_41,100.000000000000000,2265671.728590000000000,2265671.728590000000000,100.000000000000000,2265671.728590000000000
41,Mississippi Headwaters,46.829962438800003,-94.351580827899994,US,EDU_42,100.000000000000000,2997282.808679999800000,2997282.808679999800000,100.000000000000000,2997282.808679999800000
42,Mississippi Outwash Plains,45.426923121300000,-94.096036172300003,US,EDU_43,100.000000000000000,2211372.709580000000000,2211372.709580000000000,100.000000000000000,2211372.709580000000000
43,MO Plains Rivers,39.700070886799999,-91.599506806500003,US,EDU_44,100.000000000000000,2611028.324169999900000,2611028.324169999900000,100.000000000000000,2611028.324169999900000
44,Moreau/Loutre,38.789739697300000,-91.979898258199995,US,EDU_45,100.000000000000000,1292766.825660000100000,1292766.825660000100000,100.000000000000000,1292766.825660000100000
45,North Shore of Lake Superior,47.613434802599997,-90.900582220100006,US_CA,EDU_46,99.982528899900004,572756.815825999950000,564911.587074000040000,99.999999999300002,572756.815822000030000
46,Northeast Lake Ontario,43.562846320900000,-75.647329333100004,US,EDU_47,100.000000000000000,1262605.089470000000000,1262605.089429999900000,100.000000000000000,1262605.089470000000000
47,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",44.534827947899998,-85.023023200200001,US,EDU_48,99.999999999899998,3843906.514769999800000,3836276.797929999900000,100.000000000000000,3843906.514769999800000
48,Northwest Adirondacks,44.443260835399997,-74.874073168300001,US_CA,EDU_49,99.998230560699994,1444597.092200000100000,1444571.527930000100000,100.000000000000000,1444597.092200000100000
49,Open Mississippi River,38.037355000900000,-89.946928524300006,US,EDU_50,99.999235401199996,873566.158879000000000,873559.479601999980000,100.000000000000000,873566.158879000000000
50,Osage,37.843164614400003,-93.085135692600005,US,EDU_51,100.000000000000000,1634360.683860000000000,1634360.683860000000000,100.000000000000000,1634360.683860000000000
51,Osage/South Grand,38.205755968500000,-94.348087152500000,US,EDU_52,67.553827674900006,1696191.647630000000000,1145842.382680000000000,100.000000000000000,1696191.647630000000000
52,Penobscot - Kennebec - Androscroggin,45.136196203600001,-69.573705263700006,US_CA,EDU_53,99.993537897099998,5025409.523910000000000,5024995.494819999700000,99.999999999799996,5025409.523889999800000
53,Platte/Nishnabotna,40.811936854099997,-95.187624608199997,US,EDU_54,84.837378475700007,3391729.935360000000000,2877454.762130000200000,100.000000000000000,3391729.935360000000000
54,Rainy Lake-Rainy Headwaters,48.060223125500002,-91.943172527800002,US_CA,EDU_55,99.977325652000005,885495.281361000030000,885294.501062000050000,100.000000000000000,885495.281361000030000
55,Rapid-Lower Rainy-Lake of the Woods,48.671275762100002,-94.722696832200000,US_CA,EDU_56,99.990525204700006,755036.702862999980000,754965.164675000010000,100.000000000000000,755036.702862999980000
56,Rock River,42.355787828799997,-89.307282089300003,US,EDU_57,100.000000000000000,2400506.339070000200000,2400506.339070000200000,100.000000000000000,2400506.339070000200000
57,Saco - Merrimack - Charles,43.302992764800003,-71.173048278799996,US,EDU_58,100.000000001999990,2804478.405489999800000,2804478.404010000200000,100.000000000000000,2804478.405489999800000
58,Saginaw Bay,43.522590391400001,-83.761973364599996,US_CA,EDU_59,99.998201609099993,2676114.150409999800000,2669272.362120000200000,100.000000000000000,2676114.150409999800000
59,Scioto Basin,39.784504474300000,-83.146697395299995,US,EDU_60,100.000000000000000,1686672.858449999900000,1686672.858449999900000,100.000000000000000,1686672.858449999900000
60,Skunk/Des Moines/ Miss,41.243879808400003,-92.443127502899998,US,EDU_61,100.000000000000000,2939609.748960000000000,2939609.748960000000000,100.000000000000000,2939609.748960000000000
61,Southeast Lake Michigan,42.376081831400001,-85.397803435399993,US,EDU_62,100.000000000000000,3527384.761909999900000,3527384.761870000000000,100.000000000000000,3527384.761909999900000
62,Southeast Michigan Interlobate and Lake Plain,42.289375605700002,-83.510156316600003,US_CA,EDU_63,99.982346035600003,1174033.586399999900000,1173826.322880000100000,100.000000000000000,1174033.586399999900000
63,Southern Alleghany Plateau,38.849194865500003,-82.788618547499993,US,EDU_64,64.626570878400003,1549750.382569999900000,1001550.529430000000000,100.000000000000000,1549750.382569999900000
64,Southern Driftless,42.676379913500000,-90.509860012499999,US,EDU_65,100.000000000000000,1797471.184560000000000,1797471.184560000000000,100.000000000000000,1797471.184560000000000
65,Southern Lake Erie,41.418969079999997,-81.429061838699994,US,EDU_66,99.999999998199996,787182.778147000000000,787182.778108000060000,100.000000000000000,787182.778147000000000
66,Southern Lake Ontario,42.819129044400000,-77.372761691700006,US,EDU_67,100.000000000000000,1980568.312410000000000,1980568.283610000000000,100.000000000000000,1980568.312410000000000
67,St. Croix River,45.856369822100000,-92.506030238299999,US,EDU_68,100.000000000000000,1999384.118509999900000,1999384.118500000100000,100.000000000000000,1999384.118509999900000
68,St. Louis River Drainage,47.173905848799997,-92.409865100600001,US,EDU_69,100.000000000000000,967282.356396000020000,967282.356396000020000,100.000000000000000,967282.356396000020000
69,Tippiecanoe River,41.016009265800001,-86.432105413499997,US,EDU_70,100.000000000000000,504945.173837999990000,504945.173837999990000,100.000000000000000,504945.173837999990000
70,Upper Alleghany River,41.575608005900001,-79.206989263899999,US,EDU_71,100.000000000000000,2548119.519580000100000,2548119.519580000100000,100.000000000000000,2548119.519580000100000
71,Upper Connecticut,44.132184223199999,-72.057815001999998,US_CA,EDU_72,99.989985970099994,1249513.656900000100000,1249388.521500000000000,100.000000000000000,1249513.656900000100000
72,Upper Delaware,41.716896998800003,-74.997978603999996,US,EDU_73,100.000000000000000,1077075.350580000100000,1077075.350580000100000,100.000000000000000,1077075.350580000100000
73,Upper Des Moines River,42.698209560499997,-94.537991699900005,US,EDU_74,100.000000000000000,2556695.332659999800000,2556695.332659999800000,100.000000000000000,2556695.332659999800000
74,Upper Hudson,42.993190879799997,-74.111739909099995,US,EDU_75,100.000000000000000,2727880.072160000000000,2727880.072160000000000,100.000000000000000,2727880.072160000000000
75,Upper Illinois River,41.435575410299997,-88.077523570400004,US,EDU_76,100.000000000000000,3683853.523339999800000,3683853.523339999800000,100.000000000000000,3683853.523339999800000
76,Upper Minnesota River,45.206778488700003,-95.982139409699997,US,EDU_77,79.621827851899994,2139622.270659999900000,1703606.361030000000000,100.000000000000000,2139622.270659999900000
77,Upper Potomac - Upper Shenandoah,39.531705357400000,-78.383176682799999,US,EDU_78,28.105746023900000,1249677.233640000000000,351231.109405000000000,100.000000000000000,1249677.233640000000000
78,Upper St. John - Aroostook,46.708706328700003,-68.838761126799994,US_CA,EDU_79,99.986982444500001,1890275.020569999900000,1890028.952899999900000,100.000000000000000,1890275.020569999900000
79,Upper Susquehanna,42.188556629399997,-76.184501014299997,US,EDU_80,100.000000000000000,2471109.567859999800000,2471109.567859999800000,100.000000000000000,2471109.567859999800000
80,Upper Wabash River,40.634355029600002,-85.687064587300000,US,EDU_81,100.000000000000000,1372573.673200000100000,1372573.673200000100000,100.000000000000000,1372573.673200000100000
81,Upper White,39.678794316699999,-86.036891803800003,US,EDU_82,100.000000000000000,1684668.022420000100000,1684668.022420000100000,100.000000000000000,1684668.022420000100000
82,Wabash River,38.926429032900003,-88.031732310500004,US,EDU_83,100.000000000000000,2325695.319230000000000,2325695.319230000000000,100.000000000000000,2325695.319230000000000
83,Wapsipinicon-Maquoketa Rivers,42.354937339400003,-91.339998193599996,US,EDU_84,100.000000000000000,1144638.358270000000000,1144638.358270000000000,100.000000000000000,1144638.358270000000000
84,West Branch Susquehanna River,41.242857826200002,-77.690220471399996,US,EDU_85,100.000000000000000,1807481.138929999900000,1807481.138929999900000,100.000000000000000,1807481.138929999900000
85,Western Lake Erie,41.168545257799998,-83.929157513199996,US,EDU_86,100.000000000000000,2618157.167760000100000,2618157.167750000000000,100.000000000000000,2618157.167760000100000
86,Western Lake Michigan and Door Peninsula,43.882541092899999,-87.853074031500000,US,EDU_87,100.000000000000000,956598.944341000050000,956598.944316999990000,100.000000000000000,956598.944341000050000
87,Western Tributaries of the Red River Basin,45.871443348900002,-96.445550923799999,US,EDU_88,71.791200169999996,510254.784079000000000,366318.033415000010000,100.000000000000000,510254.784079000000000
88,Western Upper Peninsula and Keweenaw Peninsula,46.693881517999998,-89.181372456500000,US,EDU_89,100.000000000000000,911589.728435000060000,904320.093746999980000,100.000000000000000,911589.728435000060000
89,White River,36.681822959500003,-92.168548976099999,US,EDU_90,65.378652109900003,4203287.600720000500000,2748052.777660000100000,100.000000000000000,4203287.600720000500000
90,Wisconsin River,44.902533558700000,-89.749004912000004,US,EDU_91,100.000000000000000,2110479.959170000200000,2110479.959170000200000,100.000000000000000,2110479.959170000200000
