WBIC,SHAPE_AREA,SHAPE_LEN,lat,long,Area,WatershedA,MaxDepth,MeanDepth,W_AREA,W_LAT,W_PERM,W_SLOPE,W_DARCY,W_BD_203,W_QG_1,W_PRCP_ANN,W_TEMP_ANN,W_TEMP_GS,W_TEMP_JUL,TRW_AREA,W_LU06_11,W_LU06_21,W_LU06_22,W_LU06_41,W_LU06_42,W_LU06_43,W_LU06_52,W_LU06_71,W_LU06_81,W_LU06_82,W_LU06_90,W_LU06_95,R_AREA,R_PERM,R_SLOPE,R_DARCY,R_LU06_11,R_LU06_21,R_LU06_41,R_LU06_43,R_LU06_90,w_develop,w_forest,w_ag,w_wetland,r_develop,r_forest,r_wetland,cond,mg_average,ca_average,lake_MEAN,watershed_MIN,elevation_difference,LakeName,US_L3NAME,ECO_LANDSC,HUC12_CODE,slope2,slope3,slope4,slope5,slopenearest,SDI,area_depth_ratio
117500,168146.100863,1800.6210933,43.79553175,-89.6223460599999,42,166,58,NA,0.6733,43.7999999999999,1049,2.98,-56.7999999999999,100,100,833.299999999999,7.24,15.3,21.42,0.67,31.3799999999999,15.64,1.83,26.39,5.78,0,0,0,0,16.19,1.71,1.08,0.1132,1049,5.6859999,117.9,38.5999985,4.9499998,37.8100014,0,6.0100002,17.47,32.17,16.19,2.79,4.9499998,37.8100014,12.370000300000001,232,NA,NA,271.922109126,271.751525879,24.791941167000004,Wolf Lake,North Central Hardwood Forests,Central Sand Hills,040302010201,0.00277995710611752,0.00325257375985653,-4.22546281043284e-5,0.00325257375985653,0.00277995710611752,1.2387224279948388,9511.386825900534
1834400,67022.8452574999,1820.65473301,45.1670336,-91.3698361,17,178,17,NA,0.2765,45.17,311,5.256,-218.599999999999,100,0,816.399999999999,5.97,14.47,20.6999999999999,0.72,22.93,11.43,0,63.07,0,0,0,0,0,0,2.57,0,0.0961,311,8.1730003,-277.5,11.2399998,12.0699997,73.4700012,0,3.23,11.43,63.07,0,2.57,12.0699997,73.4700012,3.23,20,NA,NA,321.648893977,321.530639648,18.755524967999975,Beaver Lake,Northern Lakes and Forests,North Central Forest,070500050106,-0.0019107777003835,0.00833563756420961,0.00434654479570031,0.00833563756420961,0.00833563756420961,1.9838609648024734,12934.777917535102
2770800,105359.911767,1631.54445906999,46.5422283799999,-91.3867103599999,26,124,83,NA,0.5004,46.5399999999999,1032,4.89,-1204.4,0,0,838,4.86,13.32,19.6999999999999,0.5,19.62,0,2.88,68.34,0,0,0.92,2.2,0,0,5.22,0,0.0969,1032,8.5089998,-368.9,11.5600004,0,87.9300003,0,0.52,3.6999999999999997,68.34,0,5.22,0,87.9300003,0.52,21,NA,NA,339.887502083,339.789276123,24.115732779999973,Perch Lake,Northern Lakes and Forests,Northwest Sands,040103010804,0.00411685951476344,0.00638078168972387,0.00445220430252016,0.00638078168972387,0.00411685951476344,1.4179348656753574,4164.686769400436
82900,169353.420053,2035.75008793,44.4260107699999,-87.8527485799999,42,125,21,10,0.5063,44.43,82,2.343,1.1,0,0,785.399999999999,7.36,15.33,21.6099999999999,0.51,37.4099999999999,0.36,0,16.87,0,0,0,0,15.09,15.1099999999999,15.17,0,0.1269,82,2.4530001,1,17.0200005,0,19.3899994,0,36.4799995,0.36,16.87,30.1999999999999,15.17,0,19.3899994,36.4799995,340.1666667,NA,NA,245.753188726,245.670089722,14.774917963000036,Lily Lake,Southeastern Wisconsin Till Plains,Central Lake Michigan Coastal,040301010203,0.00703041166248621,0.00135341878911358,0.00678487444155278,0.00135341878911358,0.00703041166248621,1.3954765550328332,26458.164612704662
240900,81259.4900591,1221.00344963,44.81726142,-89.21966638,20,125,8,5,0.5065,44.82,530,1.829,-41.6,17.4699999999999,43.32,799.399999999999,5.72,13.89,19.98,0.51,16.17,6.59,0,39.13,0,2.47,1.07,0,8.75,17.16,8.67,0,0.081,530,2.4059999,-12.5,9.1400003,10.6199999,22.7199993,8.7700005,30,6.59,41.6,25.91,8.67,10.6199999,31.4899998,30,247,NA,NA,367.310859999,365.163299561,7.848472275999995,Wilson Lake,North Central Hardwood Forests,Forest Transition,040302021001,0.00109442815713113,0.00262927590946467,0.00292981260655035,0.00262927590946467,0.00262927590946467,1.2083003815466316,33324.9221042897
585400,194735.052144999,1845.46467267999,45.99,-89.03,48,251,11,NA,1.0173,45.99,146,3.744,-120.3,100,0,814.2,4.17,12.25,18.35,1.02,20.85,2.28,0,42.28,2.22,6.17,0,0,1.06,15.57,9.56,0,0.1168,146,4.6690001,209.599999999999,17.2999992,0,36.5600014,28.5100002,15.1499996,2.28,50.67,16.63,9.56,0,65.0700016,15.1499996,31,0.5,1.7,538.026711408,537.998046875,24.172263200999964,Dewey Lake,Northern Lakes and Forests,North Central Forest,040301060301,0.0117559657672007,0.0136998471727681,0.0138171286514913,0.0136998471727681,0.0117559657672007,1.1797194465312528,58081.32073043397
519700,183381.535628999,1985.37967916,45.0456119999999,-88.24212,45,252,37,15,1.019,45.0399999999999,574.5,1.819,-53.7,1.33,100,793.1,6.15,14.09,20.27,1.02,17.4899999999999,11.75,0.44,27.8099999999999,18.7199999999999,2.85,0,1.49,0,0,19.4499999999999,0,0.1243,404.2000122,3.3199999,-54.7,8.04,4.8299999,23.9699993,2.4100001,57.0400009,12.19,49.379999999999804,0,19.4499999999999,4.8299999,30.079999400000002,57.0400009,133.7142857,NA,NA,255.659525114,255.610992432,16.750570101000022,Underwood Lake - Staff Gage,North Central Hardwood Forests,Northern Lake Michigan Coastal,040301050505,0.00970990875236363,0.00145829629408251,0.00121801025147267,0.00145829629408251,0.00970990875236363,1.3078587366301204,16260.688056767307
2459800,347266.581138,2449.87274363,45.82924323,-91.9440110299999,86,253,18,9,1.023,45.8299999999999,787.6,1.516,4.7,100,0,814.6,5.35,13.98,20.32,1.02,35.6899999999999,5.92,0.47,25.59,0.56,16.42,0.32,0,8.34,0,5.89,0.79,0.152,824.2000122,3.027,6.4,26.3799992,12.6300001,17.2999992,31.0499992,12.6300001,6.39,42.57,8.34,6.68,12.6300001,48.3499984,12.6300001,50,NA,NA,317.639218701,317.154388428,11.805849658,Cyclone Lake,Northern Lakes and Forests,Northwest Sands,070300010405,0.00366262941972056,0.00130548788811036,0.00412590218329352,0.00130548788811036,0.00366262941972056,1.1727544733885384,63295.891866797894
741600,182289.809741,1881.24732567,42.6761283,-88.2492572,45,256,28,10,1.0362,42.68,909,1.988,-13.6999999999999,0,34.9699999999999,865,8.1,15.72,21.7399999999999,1.04,15.3599999999999,14.82,15.14,2.9,0,2.53,0,8.05,9.10999999999999,6.24,15.3599999999999,1.21,0.1185,909,3.5829999,1.9,3.04,10.7200003,8.2700005,1.4400001,60.3400002,38.8,5.43,15.34999999999999,16.5699999999999,10.9700003,9.7100006,63.6300002,557,NA,NA,230.115916071,229.837554932,17.092015448000012,Rockland Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,071200060707,0.00349173756069189,0.0025397534601074,4.00436764828975e-4,0.0025397534601074,0.00349173756069189,1.242967484175513,21359.417151879454
586800,244916.137105,2192.21179550999,45.99,-89.03,61,257,41,NA,1.0419,45.99,146,3.1,61.3999999999999,100,0,814.2,4.17,12.25,18.35,1.04,24.6099999999999,4.79,0,38.4099999999999,0,4.36,0.69,0,2.07,9.86999999999999,15.1999999999999,0,0.1372,146,4.908,317.699999999999,13.0500002,7.0700002,38.2700005,16.25,25.2199993,4.79,42.7699999999999,11.93999999999999,15.1999999999999,7.0700002,54.5200005,25.2199993,17,NA,NA,543.520123336,543.476745605,22.03273310899999,Imogene Lake,Northern Lakes and Forests,North Central Forest,040301060301,0.0117559657672007,0.0136998471727681,0.0138171286514913,0.0136998471727681,0.0117559657672007,1.2495938459251643,19598.30813528263
2730800,199856.174459,2016.36247929999,46.21593773,-91.2678566,49,257,25,9,1.0391,46.2199999999999,671,2.69,-496.399999999999,0,0,847.799999999999,4.96,13.31,19.5399999999999,1.04,18.6999999999999,6.94,0,39.07,10.7799999999999,10.39,0.75,0.87,9.82,0,2.69,0,0.1252,671,5.131,-231.3,13.1000004,10.3000002,43.2099991,20.3700008,1.6799999,6.94,60.2399999999999,9.82,2.69,10.3000002,71.4099998,1.6799999,13,NA,NA,406.609104279,406.526062012,17.33443820100001,Perry Lake,Northern Lakes and Forests,North Central Forest,070300020103,3.91291475638368e-4,3.98773980630805e-4,0.00322874166070464,3.98773980630805e-4,0.00322874166070464,1.272345008476598,26227.8444171916
1838500,221932.051035,3248.15149767999,45.39892728,-91.2632158499999,55,257,10,6,1.0396,45.3999999999999,1032,1.357,-25.8,0,100,831.5,5.76,14.19,20.35,1.04,18.19,10.96,0,36.93,0,1.24,4.93,0.86,5.09,11.49,7.8,2.51,0.1862,1032,1.978,-58.3,12.0799999,18.8500004,41.4099998,0,11.4399996,10.96,38.17,16.58,10.309999999999999,18.8500004,41.4099998,15.899999600000001,23,NA,NA,333.206676411,333.044525146,13.386951519000036,Caley Lake,Northern Lakes and Forests,North Central Forest,070500010704,6.78186961081544e-4,7.69092722051601e-4,0.00151183254718993,7.69092722051601e-4,6.78186961081544e-4,1.9450077298749158,72812.35270177166
1844500,443087.16255,4435.48550769,46.1796951299999,-90.98620431,109,281,42,12,1.1355,46.18,431,2.939,-114.9,100,0,863.1,4.55,12.88,19.17,1.14,39.99,4.28,0,20.6999999999999,8.09,14.06,6.67,0,0,0,6.22,0,0.2375,431,5.263,-588.7,18.7000008,2.8599999,11.75,25.4300003,10.3999996,4.28,42.8499999999999,0,6.22,2.8599999,62.020000499999995,10.3999996,26,NA,NA,449.91560903,449.074981689,19.43973765000004,Dells Lake,Northern Lakes and Forests,North Central Forest,070500010104,0.00350004998169786,0.00341076943452271,0.00334345778738127,0.00341076943452271,0.00350004998169786,1.879713449399872,34611.858091957256
2317900,431161.473440999,4961.87857927,46.01806341,-89.9129919599999,107,282,22,NA,1.1397,46.02,1032,2.157,-52.3999999999999,0,100,822.1,4.44,12.74,18.8999999999999,1.14,42.7,8.27,0,14.82,0.7,14.68,0,0,0,0,18.8299999999999,0,0.2557,1032,4.8839998,-173.2,25.8099995,3.5999999,22.1700001,9.54,35.8199997,8.27,30.2,0,18.8299999999999,3.5999999,34.7600001,35.8199997,13,0.33,0.98,488.032204816,487.884735107,12.222067645000038,Middle Sugarbush Lake,Northern Lakes and Forests,Northern Highland,070500020202,-7.89582341623502e-4,0.00185143390118699,0.00173214733255896,0.00185143390118699,0.00173214733255896,2.13167615334467,64298.71651172139
740400,477633.648134,2976.71007508,42.80001387,-88.4300968999999,118,285,24,12,1.1547,42.7999999999999,909,3.326,-139.099999999999,0,100,866.6,8.35,16.05,22.05,1.15,42.06,5.39,4.63,17.07,0,0.95,0.39,0,7.77,10.76,8.18,2.8,0.1688,909,10.9610004,-132.4,18.7199993,2.9000001,23.7600002,0.12,23.2199993,10.02,18.02,18.53,10.98,16.4699998,23.8800002,31.5099993,309,18.33333333,31.5,247.487998809,247.127548218,19.458595428999985,Booth Lake,Southeastern Wisconsin Till Plains,Southeast Glacial Plains,071200060203,9.26319685155698e-4,-0.00369939199713347,7.8044977101677e-4,-0.00369939199713347,9.26319685155698e-4,1.2150220186144285,65293.31366661198
417300,302253.467099,2441.5786342,45.37177528,-88.73651189,75,286,65,16,1.1566,45.3699999999999,146,3.687,123.8,79.53,0,810.299999999999,4.75,12.6999999999999,18.6499999999999,1.16,26.7399999999999,4.12,0,53.5799999999999,0,0,0,0,0,0,15.55,0,0.1514,146,6.1859999,608.1,11.5600004,8.8500004,10.6999998,0,68.8899994,4.12,53.5799999999999,0,15.55,8.8500004,10.6999998,68.8899994,46.5,NA,NA,500.236444735,500.112121582,51.349187588999996,Ada Lake,Northern Lakes and Forests,North Central Forest,040301040201,0.0210049036793579,0.00892399059479905,0.00718195048086522,0.00892399059479905,0.0210049036793579,1.252795365760733,15256.080511760549
1020600,352133.733385,4717.30685610999,45.88887204,-89.8542439999999,87,287,43,NA,1.1607,45.89,1032,4.187,-107.599999999999,100,4.62,807.7,4.39,12.67,18.87,1.16,32.57,4.29,1.63,41.3299999999999,0,9.83,0,0,0,0,9.89,0.47,0.2375,1032,5.5679998,-48.7,16.3400002,5.6799998,37.7700005,11.1999998,25.4300003,5.92,51.1599999999999,0,10.360000000000001,9.2199998,48.9700003,25.4700003,17,0.615,1.78,484.080303248,482.498718262,25.558582249999972,Sunday Lake,Northern Lakes and Forests,Northern Highland,070700010806,0.00277454623765592,0.00366071679415905,0.00118756248340519,0.00366071679415905,0.00277454623765592,2.2425151202413613,26867.311648126106
2313100,388411.771945999,3362.87184067,46.15457957,-90.0894720099999,96,290,20,11,1.1738,46.1499999999999,482.399999999999,1.778,-28.1999999999999,0,100,838.799999999999,4.47,12.7899999999999,18.93,1.17,35.31,8.43,0,13.7899999999999,1.22,7.81,0.77,0,0,0.09,32.5799999999999,0,0.1921,492.3999939,4.0890002,-116.3,24.0499992,4.5799999,28.3700008,15.9799995,24.3600006,8.43,22.8199999999999,0.09,32.5799999999999,4.5799999,45.2400003,24.3600006,110,3.88,16.2,483.131315564,482.342590332,14.363252307000039,Little Pike Lake,Northern Lakes and Forests,Northern Highland,070500020305,4.68787247407231e-4,2.79352312565592e-4,1.06408095112872e-4,2.79352312565592e-4,4.68787247407231e-4,1.5221561006373203,63715.841854658625
198800,286329.624099,2006.74588369999,44.4647945999999,-89.1407206599999,71,292,17,7,1.1812,44.4699999999999,530,2.041,-2.4,0,36.1099999999999,815.5,6.72,14.81,20.91,1.18,25.76,9.15,3.13,7.63,0.98,6.61,0,0,10.85,32.56,3.33,0,0.1279,530,3.7850001,18.1999999999999,22.0499992,18.0599995,4.54,4.0700002,4.9299998,12.280000000000001,15.219999999999999,43.410000000000004,3.33,22.5999995,11.9700001,4.9299998,185.4863636,NA,NA,282.252813095,282.231140137,30.276727920999974,Silver Lake,North Central Hardwood Forests,Forest Transition,040302021604,-6.77200336967818e-4,0.00292836610065415,-1.43163909136305e-4,0.00292836610065415,-1.43163909136305e-4,1.0579236044522253,55258.920815771184
2264200,64815.648778,1085.60852585,45.95620325,-90.07377203,16,296,16,7,1.1982,45.96,1032,3.355,-136.199999999999,0,0,818.299999999999,4.48,12.7799999999999,18.93,1.2,5.85,3.78,0,38.4699999999999,3.82,16.82,3.97,0,0,0,27.28,0,0.0731,1032,4.8319998,-277.3,16,10.1199999,7.52,12.5900002,51.8499985,3.78,59.1099999999999,0,27.28,10.1199999,20.110000200000002,51.8499985,32.2,NA,NA,479.183650054,479.100280762,25.703953705999993,Twin Lake,Northern Lakes and Forests,Northern Highland,070500030204,0.00412401272941056,0.00102783549484442,0.00239057303562618,0.00102783549484442,0.00412401272941056,1.2028968210209503,13290.610395751311
418000,192032.920455,2925.80012265,45.18138252,-88.3940994799999,47,299,20,NA,1.2107,45.18,1256,3.74,-101.599999999999,0,100,801.899999999999,5.77,13.74,19.87,1.21,15.3599999999999,3.64,0,46.6199999999999,2.67,4.6,0,0.75,0,0,26.3599999999999,0,0.1726,1256,7.618,-205.8,8.46,3.1300001,35.2299995,0.52,51.0400009,3.64,53.8899999999999,0,26.3599999999999,3.1300001,37.3699995,51.0400009,59.81764706,NA,NA,281.634422759,281.352294922,29.69907333499998,Bear Paw Lake,Northern Lakes and Forests,Northeast Sands,040301040205,0.00310083813070186,0.00223496966192626,0.00432940143832371,0.00223496966192626,0.00223496966192626,1.883440385007706,31501.463329232287
2734700,307421.679265999,2756.44234821,46.27397611,-91.1155403399999,76,300,15,NA,1.2156,46.27,431,1.361,-109.4,0,0,860.7,4.89,13.26,19.5,1.22,25.8099999999999,8.23,0,31.9499999999999,4.56,14.1999999999999,3.43,0,0,0,11.81,0,0.1631,431,2.572,-242.9,18.6399994,5.0300002,31.1499996,23.1100006,12.0799999,8.23,50.709999999999795,0,11.81,5.0300002,57.8200001,12.0799999,24,0.25,1.067,432.211540736,432.165039063,13.75369974299997,Lake Knotting,Northern Lakes and Forests,North Central Forest,040103020604,0.00220142312948806,0.0124090742391035,0.00136668797561339,0.0124090742391035,0.00220142312948806,1.4024156070359353,67240.08732852121
1179000,171123.455347999,1982.69950644,45.8505938799999,-89.79872376,42,304,37,14,1.232,45.85,1032,3.475,-123.3,74.0799999999999,0,807.1,4.33,12.6,18.8299999999999,1.23,15.69,3.33,0,32.93,0.73,19.23,0,0,0,0,27.42,0.67,0.124,1032,5.3410001,11.8,15.5699997,6.6900001,17.0200005,16.2900009,44.4399986,3.33,52.89,0,28.090000000000003,6.6900001,33.3100014,44.4399986,14.5,0.28,0.933,475.918352343,475.778076172,21.513654493000047,Windowpane Lake,Northern Lakes and Forests,Northern Highland,070700010806,-6.24026549527232e-4,0.00185559382361492,0.00358383542067998,0.00185559382361492,0.00358383542067998,1.3520638335612467,15173.74754805978
1877900,173028.125888999,2170.79629526,46.18,-89.78,43,179,50,NA,0.7235,46.18,182.199999999999,1.686,-62.5,100,100,842.5,4.48,12.81,18.91,0.72,26.1499999999999,12.34,0,47.95,0,7.42,0,0,0,0,6.14,0,0.1277,182,5.0380001,-213.9,19.5799999,18.1700001,40.0900002,13.6999998,8.46,12.34,55.370000000000005,0,6.14,18.1700001,53.79,8.46,34,NA,NA,498.680057849,498.145935059,10.980159436000008,Rosalind Lake,Northern Lakes and Forests,Northern Highland,070500020107,0.0019850557376028,0.00360124018051035,0.00229862156634918,0.00360124018051035,0.00360124018051035,1.4721626251545152,11353.551567519618
2474300,120272.395617,1868.49408936,45.79026743,-92.3698212599999,30,181,12,NA,0.7314,45.7899999999999,430.199999999999,0.404,-2.6,100,100,811.399999999999,5.7,14.4,20.77,0.73,15.6,4.95,1.4,11.42,5.5,21,0,0,15.6999999999999,2.8,4.05,17.6,0.1159,388,0.95,-23.6999999999999,10.6099997,0.26,7.3299999,29.9400005,17.7700005,6.35,37.92,18.4999999999999,21.650000000000002,4.3999999,44.5200004,40.460001,61,NA,NA,301.766715204,301.706451416,3.0576256159999957,Larson Lake,Northern Lakes and Forests,Northwest Sands,070300010905,0.00722303314092889,3.81942940028774e-4,0.00125585839137118,3.81942940028774e-4,0.00722303314092889,1.5198608061236125,32882.87281742126
